,vehicleid,status,rptdatetime,velocity,direction,call_id,geom,marvlis_bayes_id,lat,lon
38,93,AT SCENE,2012-09-07 00:00:54,30.0,75.0,122500374.0,0101000020E610000025CCB4FD2B955EC0E223624A24E94240,13706878,37.82142,-122.33081
39,77,ENROUTE,2012-09-07 00:00:58,24.0,48.0,122500375.0,0101000020E6100000841266DAFE9D5EC0F44F70B1A2E24240,13706879,37.77059,-122.46868
40,E48,ENROUTE,2012-09-07 00:01:07,33.0,84.0,122500374.0,0101000020E61000005F07CE1951955EC06D72F8A413E94240,13706880,37.820912,-122.333075
41,93,AT SCENE,2012-09-07 00:01:09,30.0,88.0,122500374.0,0101000020E610000034BF9A0304955EC0850838842AE94240,13706881,37.82161,-122.32837
42,77,ENROUTE,2012-09-07 00:01:13,20.0,50.0,122500375.0,0101000020E6100000F67F0EF3E59D5EC0D0D03FC1C5E24240,13706882,37.77166,-122.46716
43,RC2,ENROUTE,2012-09-07 00:01:13,16.0,77.0,122500375.0,0101000020E6100000D95F764F1E9E5EC02C9FE57970E34240,13706883,37.77687,-122.4706
44,87,TRANSPRT,2012-09-07 00:01:18,21.0,59.0,122500372.0,0101000020E6100000E544BB0A299B5EC0B03DB32440E54240,13706884,37.79102,-122.42438
45,E48,ENROUTE,2012-09-07 00:01:19,34.0,79.0,122500374.0,0101000020E6100000D55E44DB31955EC0D7C0560916E94240,13706885,37.820985,-122.331168
46,55,DISPATCH,2012-09-07 00:01:21,0.0,93.0,122510001.0,0101000020E6100000B83B6BB75D9E5EC0F27B9BFEECE34240,13706886,37.78067,-122.47447
47,93,AT SCENE,2012-09-07 00:01:24,19.0,73.0,122500374.0,0101000020E6100000D00A0C59DD945EC0F08AE07F2BE94240,13706887,37.82164,-122.32601
48,RC2,ENROUTE,2012-09-07 00:01:28,15.0,78.0,122500375.0,0101000020E610000015C616821C9E5EC0107A36AB3EE34240,13706888,37.77535,-122.47049
49,E48,ENROUTE,2012-09-07 00:01:29,40.0,80.0,122500374.0,0101000020E6100000F05014E813955EC08EC9E2FE23E94240,13706889,37.821411,-122.32934
50,87,TRANSPRT,2012-09-07 00:01:33,30.0,60.0,122500372.0,0101000020E6100000813E9127499B5EC07E00529B38E54240,13706890,37.79079,-122.42634
51,55,ENROUTE,2012-09-07 00:01:37,32.0,87.0,122510001.0,0101000020E6100000035B25581C9E5EC080D4264EEEE34240,13706891,37.78071,-122.47048
52,55,ENROUTE,2012-09-07 00:01:37,0.0,93.0,122510001.0,0101000020E6100000B83B6BB75D9E5EC0F27B9BFEECE34240,13706892,37.78067,-122.47447
53,55,ENROUTE,2012-09-07 00:01:37,15.0,62.0,122510001.0,0101000020E6100000CEC7B5A1629E5EC0F9A067B3EAE34240,13706893,37.7806,-122.47477
54,55,ENROUTE,2012-09-07 00:01:37,24.0,87.0,122510001.0,0101000020E610000031CEDF84429E5EC08E1EBFB7E9E34240,13706894,37.78057,-122.47281
55,55,ENROUTE,2012-09-07 00:01:37,20.0,77.0,122510001.0,0101000020E61000001288D7F50B9E5EC06BD44334BAE34240,13706895,37.77912,-122.46948
56,E48,ENROUTE,2012-09-07 00:01:39,31.0,87.0,122500374.0,0101000020E610000041B8020AF5945EC0C3D66CE525E94240,13706896,37.821469,-122.327456
57,77,ENROUTE,2012-09-07 00:01:43,12.0,61.0,122500375.0,0101000020E610000024624A24D19D5EC097C5C4E6E3E24240,13706897,37.77258,-122.46589
58,E14,DISPATCH,2012-09-07 00:01:47,13.0,87.0,122510001.0,0101000020E6100000EEE87FB9169F5EC04B1FBAA0BEE34240,13706898,37.779255,-122.485762
59,93,AT SCENE,2012-09-07 00:01:49,11.0,76.0,122500374.0,0101000020E61000008907944DB9945EC0137EA99F37E94240,13706899,37.82201,-122.32381
60,RC2,ENROUTE,2012-09-07 00:01:49,26.0,87.0,122500375.0,0101000020E61000003C66A032FE9D5EC00113B87537E34240,13706900,37.77513,-122.46864
61,87,TRANSPRT,2012-09-07 00:01:53,18.0,61.0,122500372.0,0101000020E6100000CF66D5E76A9B5EC0BE6A65C22FE54240,13706901,37.79052,-122.4284
62,E48,ENROUTE,2012-09-07 00:01:53,33.0,80.0,122500374.0,0101000020E61000002FDCB930D2945EC0AD33BE2F2EE94240,13706902,37.821722,-122.325329
63,77,ENROUTE,2012-09-07 00:02:13,1.0,58.0,122500375.0,0101000020E61000007233DC80CF9D5EC0C91F0C3CF7E24240,13706903,37.77317,-122.46579
64,RC2,ENROUTE,2012-09-07 00:02:13,18.0,86.0,122500375.0,0101000020E6100000FD87F4DBD79D5EC0179F02603CE34240,13706904,37.77528,-122.4663
65,FLOG,IN-SERV,2012-09-07 00:02:15,0.0,0.0,,0101000020E6100000252026E1428F5EC018B5FB5580F14240,13706905,37.886729,-122.238457
66,93,AT SCENE,2012-09-07 00:02:19,13.0,73.0,122500374.0,0101000020E6100000C971A774B0945EC05305A3923AE94240,13706906,37.8221,-122.32327
67,FLOG,AT SCENE,2012-09-07 00:02:19,0.0,0.0,122510002.0,0101000020E6100000252026E1428F5EC018B5FB5580F14240,13706907,37.886729,-122.238457
68,E48,ENROUTE,2012-09-07 00:02:23,7.0,77.0,122500374.0,0101000020E6100000E8F527F1B9945EC0261DE56036E94240,13706908,37.821972,-122.323849
69,87,TRANSPRT,2012-09-07 00:02:23,16.0,62.0,122500372.0,0101000020E61000008C153598869B5EC0D3D9C9E028E54240,13706909,37.79031,-122.43009
70,55,ENROUTE,2012-09-07 00:02:24,15.0,62.0,122510001.0,0101000020E6100000CEC7B5A1629E5EC0F9A067B3EAE34240,13706910,37.7806,-122.47477
71,77,ENROUTE,2012-09-07 00:02:38,2.0,82.0,122500375.0,0101000020E6100000BDA94885B19D5EC034BF9A0304E34240,13706911,37.77356,-122.46396
72,RC2,ENROUTE,2012-09-07 00:02:43,17.0,88.0,122500375.0,0101000020E61000009DF4BEF1B59D5EC05726FC523FE34240,13706912,37.77537,-122.46423
73,93,AT SCENE,2012-09-07 00:02:49,17.0,75.0,122500374.0,0101000020E6100000587380608E945EC0FE2B2B4D4AE94240,13706913,37.82258,-122.32119
74,FLOG,TRANSPRT,2012-09-07 00:02:50,0.0,0.0,122510002.0,0101000020E6100000252026E1428F5EC018B5FB5580F14240,13706914,37.886729,-122.238457
75,FLOG,TRANSPRT,2012-09-07 00:02:50,0.0,0.0,122510002.0,0101000020E6100000252026E1428F5EC018B5FB5580F14240,13706915,37.886729,-122.238457
76,E48,ON RADIO,2012-09-07 00:02:51,9.0,73.0,,0101000020E61000003BE2900DA4945EC03ECA880B40E94240,13706916,37.822267,-122.322513
77,E48,ON RADIO,2012-09-07 00:02:51,7.0,77.0,,0101000020E6100000E8F527F1B9945EC0261DE56036E94240,13706917,37.821972,-122.323849
78,E48,ON RADIO,2012-09-07 00:02:51,0.0,9.0,,0101000020E6100000C30C8D2782945EC0884CF91054E94240,13706918,37.822878,-122.320444
79,E48,ON RADIO,2012-09-07 00:02:51,13.0,71.0,,0101000020E6100000AF05BD3786945EC0FCC3961E4DE94240,13706919,37.822666,-122.320692
80,E48,ON RADIO,2012-09-07 00:02:52,9.0,73.0,,0101000020E61000003BE2900DA4945EC03ECA880B40E94240,13706920,37.822267,-122.322513
